8SW85SQM,journalArticle,2013,"McClelland, James L",Incorporating Rapid Neocortical Learning of New Schema-Consistent Information Into Complementary Learning Systems Theory.,J Exp Psychol Gen,,1939-2222,,http://www.biomedsearch.com/nih/Incorporating-Rapid-Neocortical-Learning-New/23978185.html,,,,,,,,,
85QV9X5F,journalArticle,1995,"McClelland, J. L.; McNaughton, B. L.; O'Reilly, R. C.",Why There are Complementary Learning Systems in the Hippocampus and Neocortex: Insights from the Successes and Failures of Connectionist Models of Learning and Memory,Psychological Review,,,,,,,,,,,,,
Z4X6DT6N,journalArticle,1990,"Ratcliff, R.",Connectionist models of recognition memory: constraints imposed by learning and forgetting functions.,Psychological review,,0033-295X,,http://view.ncbi.nlm.nih.gov/pubmed/2186426,,,,,,,,,
F5DGU3Q4,bookSection,1989,"McCloskey, M.; Cohen, N. J.",Catastrophic Interference in Connectionist Networks: The Sequential Learning Problem,"The Psychology of Learning and Motivation, Vol. 24",,,,,,,,,,,,,
PNGQMCP5,conferencePaper,2006,"Buciluǎ, Cristian; Caruana, Rich; Niculescu-Mizil, Alexandru",Model compression,Proceedings of the 12th ACM SIGKDD international conference on Knowledge discovery and data mining,,,,,,,,,,,,,
NKN8BJMZ,conferencePaper,2013,"Rigamonti, Roberto; Sironi, Amos; Lepetit, Vincent; Fua, Pascal",Learning Separable Filters,Conference on Computer Vision and Pattern Recognition (CVPR),,,,,,,,,,,,,
EWIHJU4R,journalArticle,2013,"Denil, Misha; Shakibi, Babak; Dinh, Laurent; Ranzato, Marc'Aurelio; Freitas, Nando de",Predicting Parameters in Deep Learning,CoRR,,,,,,,,,,,,,
VE8MQ378,conferencePaper,2013,"Coates, Adam; Huval, Brody; Wang, Tao; Wu, David; Catanzaro, Bryan; Andrew, Ng",Deep learning with COTS HPC systems,Proceedings of the 30th International Conference on Machine Learning (ICML-13),,,,http://jmlr.org/proceedings/papers/v28/coates13.pdf,,,,,,,,,
CFKZSBNQ,journalArticle,2013,"Brakel, Philémon; Stroobandt, Dirk; Schrauwen, Benjamin",Training Energy-Based Models for Time-Series Imputation,Journal of Machine Learning Research,,,,http://jmlr.org/papers/v14/brakel13a.html,,,,,,,,,
R5V4PFPP,journalArticle,1925,"Ising, E.",Beitrag zur Theorie des Ferromagnetismus,Zeitschrift fur Physik,,,10.1007/BF02980577,,,,,,,,,,
TC545KQV,book,2013,,Travis CI,,,,,http://travis-ci.org,,,,,,,,,
XAHVRAS6,book,2013,,GitHub,,,,,http://github.com,,,,,,,,,
